item_id,item_name,baseline_profit,dqn_profit,ppo_profit,dqn_profit_increase_pct,ppo_profit_increase_pct,baseline_price_variance,dqn_price_variance,ppo_price_variance
101,Chicken Soup,22495.199999999986,40046.00752606603,38706.27507157398,78.02023332117987,72.06459632087737,0.0,3.1051830219886454,1.6264718825426552
102,Garden Salad,35190.00000000001,55130.07992431599,55414.09709094353,56.664052072509186,57.47114831185994,0.0,5.253627994381868,2.6624599440532917
103,Caesar Salad,25441.91999999998,43126.666330343556,42251.51479659691,69.51026624697974,66.07046479431168,0.0,4.91084557923786,2.1095622712873086
104,Spring Rolls,32038.879999999983,52541.97397724356,51074.7290298306,63.99441546409732,59.414839188606564,0.0,4.768125705112494,2.074459077786454
105,Samosas,22672.0,46215.92178208662,50100.07924543803,103.8458088483002,120.97776660831876,0.0,7.735843756196124,4.402304720156899
106,Bruschetta,33638.55,51471.0354501144,49074.106188177706,53.01205150077634,45.88650874718947,0.0,3.8479818737785765,1.4543774206989435
107,Shrimp Cocktail,30911.100000000024,44556.49571545184,43011.65884974258,44.143999131224085,39.14632235586098,0.0,2.9159189327889607,1.2308778910460594
108,Calamari Rings,24621.84000000001,35313.03827248201,33460.66147054914,43.42160566587222,35.89829789548272,0.0,1.3792387230132708,0.6031527168122053
109,Seafood Skewers,23017.28000000003,39247.38243316533,38784.40227444186,70.51268626512463,68.50124026141147,0.0,3.8418883271590945,1.7623353612367196
200,Steaks,215170.55999999997,318115.0224946654,343852.0909407082,47.843191231488845,59.80443186126775,0.0,477.7641594911663,507.34260425117816
201,Burgers,257045.59999999992,346713.20809087885,371363.0973998349,34.883930357445905,44.473625457831226,0.0,463.5678956167596,465.96299566909806
202,Pork Chops,176903.9999999999,280093.3920177728,304229.8127809582,58.3307285407752,71.97452447709398,0.0,342.82759995470036,469.7529125349611
203,Lamb Chops,145750.08000000025,255184.06809955195,280169.2728900285,75.08331254401473,92.2258107096943,0.0,336.08907687635843,459.1402775878553
204,Chicken Breast,160403.76000000004,277548.669099359,306735.56110312854,73.03127376774644,91.22716394124954,0.0,368.2364564638536,407.2257978245717
205,Roasted Duck,143204.19999999992,195557.11838248544,209703.9892360059,36.5582283078887,46.43703832429916,0.0,155.4021095777282,134.39447110119866
206,Turkey Dishes,225495.23000000024,322158.2247058733,346585.258753287,42.8669798052371,53.69959655168167,0.0,494.30947903944394,496.01885318546016
207,Grilled Fish,117423.17999999975,195816.43649105894,214121.59947854956,66.76131279280578,82.35036683434227,0.0,162.85460824265257,228.15070848820295
208,Fried Fish,199828.37000000032,313096.30410956097,338982.5373791267,56.68260923589602,69.63684254599393,0.0,416.34777164371997,491.9294212593044
209,Seafood Pasta,160931.51999999984,232277.41324869916,251403.61355837045,44.33307611131703,56.21775868292966,0.0,220.9271454857322,246.67227710008027
210,Sushi Rolls,84569.59999999996,164308.59994002906,181053.12718570567,94.28801831867378,114.08771850133587,0.0,175.8098978788586,251.37145927145028
211,Spaghetti,208457.39999999988,304248.2278656486,329049.1530023267,45.9522319023689,57.84959085277228,0.0,351.1024595884128,375.04698141012915
212,Fettuccine,160386.84000000014,217947.10337555083,234380.89276556528,35.88839544164012,46.13474070912867,0.0,227.89932942908933,264.02667008227843
213,Lasagna,184878.35999999993,266111.1765122625,287506.0261531855,43.93852071830505,55.51091331250755,0.0,271.4641077408837,306.78298421875047
214,Ravioli,189578.1999999998,280079.02236713975,302626.0564629475,47.73799011022366,59.63125320471859,0.0,281.8754919794816,301.4943126740522
215,Vegetable Stir-Fry,186277.44000000024,278998.4012961495,302690.8661403489,49.77573306576959,62.49464569641311,0.0,332.89574234301796,385.13473933277004
216,Tofu Dishes,194313.59999999992,265520.9272266544,285592.3033798566,36.645570473016065,46.974943277185275,0.0,276.61274257634904,276.9526927562586
217,Vegetarian Pasta,92195.76000000007,157509.08311896154,172448.737480815,70.84200305845022,87.04627792082292,0.0,128.890221429456,180.1115727762173
218,Salads,175001.5799999998,301256.87572996237,330482.14746978733,72.1452319058849,88.8452364086014,0.0,527.6416756869648,644.9028865289644
301,Mashed Potatoes,39705.119999999944,46533.082599024296,58461.322382012644,17.196680425658858,47.23875002018059,0.0,4.792718937877346,8.482993736398589
302,French Fries,33837.3,49126.15660126695,75483.69141529543,45.18344135397016,123.07835263243645,0.0,14.281241434048704,29.050525814449184
303,Roasted Potatoes,35794.43999999996,51822.533968049596,81039.68928170623,44.77816657572979,126.40300918719869,0.0,12.398440797427083,33.513489924081654
304,Potato Wedges,49449.96000000008,58836.326579070985,81147.00726749108,18.98154534214161,64.09923742605848,0.0,7.905495826366875,19.55592391432805
305,Steamed Vegetables,70918.26000000002,86787.60705713066,115828.70131337876,22.376954901502987,63.327049075060096,0.0,25.403332153061616,40.76142860896608
306,Grilled Vegetables,79982.21000000008,97007.22927486475,126975.35624329839,21.28600756951408,58.75449833569023,0.0,36.898331751423456,52.55052840666372
307,Mixed Vegetable Medley,39645.0,49119.847775983195,68292.08243291061,23.89922506238667,72.2590047494277,0.0,5.356952945921617,12.501516791738668
308,Plain Rice,58622.79999999998,68029.16162151615,93818.25642175697,16.045568655056,60.03714667630513,0.0,8.07505820715366,21.65254566473411
309,Fried Rice,25773.0,43871.518633017775,36406.374819835626,70.22278598928249,41.257807860301966,0.0,4.45393523800202,2.38286325629677
310,Pilaf,33610.079999999965,42433.85515497672,57568.74925342615,26.25335957241627,71.2841780008444,0.0,4.816744452545094,9.986817522465397
