,Baseline,DQN,PPO,DQN_vs_Baseline_%,PPO_vs_Baseline_%,PPO_vs_DQN_%,DQN_profit_improvement,PPO_profit_improvement,PPO_vs_DQN_profit_diff
total_profit,2038.0,3881.83,4323.53,90.47,112.15,11.38,1843.83,2285.53,441.7
average_daily_profit,67.93,129.39,144.12,90.48,112.16,11.38,61.46,76.19,14.73
profit_std,26.93,90.38,97.67,235.61,262.68,8.07,63.45,70.74,7.29
price_stability,0.0,2.0,1.76,inf,inf,-12.0,2.0,1.76,-0.24
avg_price,20.0,22.6,23.05,13.0,15.25,1.99,2.6,3.05,0.45
total_sales,1019.0,799.0,799.0,-21.59,-21.59,0.0,-220.0,-220.0,0.0
